tahun_masuk,bulan_lulus,ipk,jumlah_mk_gagal,sks_lulus,status_skripsi,jumlah_bimbingan,label_tepat_waktu
2021,1,Sedang,Sedikit,Cukup,Semhas,Banyak,Tidak
2018,12,Sedang,Sedikit,Cukup,Sempro,Banyak,Ya
2020,6,Rendah,Sedikit,Kurang,JudulAcc,Sedikit,Tidak
2018,5,Sedang,Sedikit,Kurang,Semhas,Banyak,Ya
2017,7,Tinggi,Sedikit,Cukup,Semhas,Banyak,Tidak
2019,2,Sedang,Sedikit,Kurang,Belum,Sedikit,Ya
2018,9,Sedang,Sedikit,Cukup,Semhas,Sedikit,Ya
2019,2,Sedang,Sedikit,Kurang,JudulAcc,Sedikit,Ya
2017,6,Sedang,Sedikit,Kurang,Sempro,Banyak,Tidak
2017,11,Tinggi,Sedikit,Cukup,JudulAcc,Sedikit,Tidak
2016,1,Sedang,Sedikit,Cukup,Semhas,Banyak,Tidak
2017,4,Sedang,Sedikit,Cukup,Semhas,Banyak,Tidak
2017,8,Rendah,Banyak,Kurang,Belum,Sedikit,Tidak
2016,4,Rendah,Banyak,Kurang,Belum,Sedikit,Ya
2016,8,Tinggi,Sedikit,Cukup,Skripsi,Banyak,Tidak
2017,8,Sedang,Sedikit,Kurang,Semhas,Banyak,Tidak
2019,3,Rendah,Sedikit,Cukup,Sempro,Banyak,Tidak
2021,6,Sedang,Sedikit,Kurang,JudulAcc,Sedikit,Tidak
2020,7,Tinggi,Sedikit,Kurang,Sempro,Sedikit,Ya
2016,3,Rendah,Sedikit,Kurang,Skripsi,Banyak,Ya
2016,8,Tinggi,Sedikit,Kurang,Semhas,Banyak,Ya
2020,5,Rendah,Banyak,Cukup,Skripsi,Banyak,Tidak
2017,8,Rendah,Banyak,Cukup,Sempro,Banyak,Ya
2019,1,Rendah,Sedikit,Cukup,Sempro,Banyak,Ya
2018,9,Sedang,Sedikit,Cukup,JudulAcc,Sedikit,Tidak
2020,2,Tinggi,Sedikit,Kurang,Sempro,Sedikit,Ya
2018,10,Tinggi,Sedikit,Cukup,Semhas,Banyak,Tidak
2020,9,Sedang,Sedikit,Kurang,Sempro,Banyak,Tidak
2016,9,Tinggi,Sedikit,Cukup,JudulAcc,Sedikit,Tidak
2021,7,Tinggi,Sedikit,Cukup,JudulAcc,Sedikit,Ya
2016,3,Rendah,Sedikit,Kurang,Semhas,Banyak,Tidak
2017,9,Tinggi,Sedikit,Kurang,JudulAcc,Sedikit,Ya
2019,6,Sedang,Sedikit,Kurang,JudulAcc,Sedikit,Tidak
2020,5,Tinggi,Sedikit,Kurang,JudulAcc,Sedikit,Tidak
2020,9,Sedang,Sedikit,Cukup,Skripsi,Banyak,Tidak
2020,3,Rendah,Sedikit,Kurang,Semhas,Banyak,Ya
2017,1,Sedang,Sedikit,Cukup,Semhas,Banyak,Tidak
2021,5,Tinggi,Sedikit,Cukup,JudulAcc,Sedikit,Tidak
2019,5,Rendah,Sedikit,Cukup,Semhas,Banyak,Tidak
2018,11,Sedang,Sedikit,Cukup,JudulAcc,Sedikit,Ya
2017,10,Sedang,Sedikit,Kurang,Sempro,Sedikit,Ya
2020,1,Rendah,Sedikit,Kurang,Belum,Sedikit,Ya
2016,10,Sedang,Sedikit,Kurang,Sempro,Banyak,Ya
2019,1,Sedang,Sedikit,Cukup,JudulAcc,Sedikit,Tidak
2018,4,Rendah,Sedikit,Cukup,JudulAcc,Sedikit,Tidak
2021,8,Tinggi,Sedikit,Kurang,Sempro,Sedikit,Tidak
2016,1,Tinggi,Sedikit,Cukup,Sempro,Sedikit,Tidak
2019,1,Sedang,Sedikit,Kurang,Semhas,Banyak,Ya
2018,4,Rendah,Sedikit,Cukup,Sempro,Banyak,Tidak
2018,8,Tinggi,Sedikit,Cukup,JudulAcc,Sedikit,Tidak
2018,4,Tinggi,Sedikit,Cukup,Belum,Sedikit,Tidak
2021,8,Tinggi,Sedikit,Kurang,Sempro,Sedikit,Ya
2018,7,Sedang,Sedikit,Kurang,Sempro,Banyak,Tidak
2020,4,Sedang,Sedikit,Kurang,Sempro,Sedikit,Tidak
2019,5,Rendah,Sedikit,Kurang,Sempro,Sedikit,Tidak
2019,10,Tinggi,Sedikit,Cukup,Semhas,Sedikit,Tidak
2021,1,Sedang,Sedikit,Cukup,Sempro,Sedikit,Tidak
2020,8,Rendah,Sedikit,Cukup,Semhas,Banyak,Tidak
2020,5,Rendah,Sedikit,Kurang,Sempro,Banyak,Ya
2021,3,Sedang,Sedikit,Cukup,Sempro,Sedikit,Tidak
2019,1,Rendah,Banyak,Kurang,Semhas,Sedikit,Tidak
2018,1,Tinggi,Sedikit,Kurang,Semhas,Banyak,Tidak
2016,7,Sedang,Sedikit,Cukup,Skripsi,Banyak,Tidak
2020,9,Sedang,Sedikit,Cukup,Semhas,Sedikit,Tidak
2019,8,Tinggi,Sedikit,Cukup,Skripsi,Banyak,Tidak
2017,5,Tinggi,Sedikit,Kurang,Sempro,Banyak,Tidak
2019,11,Tinggi,Sedikit,Cukup,Skripsi,Banyak,Tidak
2018,1,Sedang,Sedikit,Cukup,Sempro,Banyak,Tidak
2021,5,Rendah,Sedikit,Cukup,Sempro,Banyak,Tidak
2017,6,Rendah,Sedikit,Cukup,JudulAcc,Sedikit,Tidak
2018,2,Sedang,Sedikit,Cukup,Sempro,Sedikit,Tidak
2020,4,Sedang,Sedikit,Kurang,Skripsi,Banyak,Tidak
2016,12,Sedang,Sedikit,Cukup,Semhas,Sedikit,Tidak
2017,3,Sedang,Sedikit,Cukup,Semhas,Sedikit,Ya
2020,1,Sedang,Sedikit,Kurang,Belum,Sedikit,Ya
2018,9,Sedang,Sedikit,Kurang,Semhas,Banyak,Tidak
2017,7,Sedang,Sedikit,Kurang,Semhas,Banyak,Tidak
2017,4,Sedang,Sedikit,Cukup,Semhas,Banyak,Tidak
2019,4,Rendah,Sedikit,Kurang,JudulAcc,Sedikit,Tidak
2020,5,Sedang,Sedikit,Kurang,Sempro,Sedikit,Ya
2021,8,Rendah,Banyak,Cukup,Sempro,Sedikit,Ya
2017,3,Tinggi,Sedikit,Kurang,Semhas,Banyak,Tidak
2016,9,Tinggi,Sedikit,Kurang,Semhas,Banyak,Ya
2016,6,Sedang,Banyak,Cukup,Sempro,Banyak,Tidak
2019,8,Sedang,Sedikit,Cukup,Sempro,Banyak,Tidak
2017,12,Rendah,Sedikit,Cukup,JudulAcc,Sedikit,Tidak
2019,2,Sedang,Sedikit,Kurang,JudulAcc,Sedikit,Tidak
2019,2,Tinggi,Sedikit,Kurang,Belum,Sedikit,Ya
2019,6,Sedang,Sedikit,Kurang,Semhas,Banyak,Ya
2021,3,Tinggi,Sedikit,Cukup,Skripsi,Banyak,Ya
2017,9,Rendah,Sedikit,Kurang,Belum,Sedikit,Tidak
2017,11,Rendah,Sedikit,Kurang,Semhas,Banyak,Tidak
